timestamp,alarm_frontend_cpu__frontend,alarm_frontend_probe_duration,alarm_frontend_probe_success,cpu__adservice,cpu__cartservice,cpu__checkoutservice,cpu__currencyservice,cpu__emailservice,cpu__frontend,cpu__loadgenerator,cpu__paymentservice,cpu__productcatalogservice,cpu__recommendationservice,cpu__redis-cart,cpu__shippingservice,fs_reads__frontend,fs_reads__productcatalogservice,fs_reads__redis-cart,fs_reads__shippingservice,fs_writes__frontend,fs_writes__productcatalogservice,fs_writes__redis-cart,fs_writes__shippingservice,memory__adservice,memory__cartservice,memory__checkoutservice,memory__currencyservice,memory__emailservice,memory__frontend,memory__loadgenerator,memory__paymentservice,memory__productcatalogservice,memory__recommendationservice,memory__redis-cart,memory__shippingservice,restart__adservice__server,restart__cartservice__server,restart__checkoutservice__server,restart__currencyservice__server,restart__emailservice__server,restart__frontend__server,restart__loadgenerator__main,restart__paymentservice__server,restart__productcatalogservice__server,restart__recommendationservice__server,restart__redis-cart__redis,restart__shippingservice__server,running__adservice,running__cartservice,running__checkoutservice,running__currencyservice,running__emailservice,running__frontend,running__loadgenerator,running__paymentservice,running__productcatalogservice,running__recommendationservice,running__redis-cart,running__shippingservice
1780600934,0.15114004253510338,0.223906455,1,0.00183150047793528,0.008018631828455086,0.0008179507455942141,0.010096613545817016,0.0017248254195908277,0.15114004253510338,0.0026684642008005955,0.0005210441834924376,0.006763288350316782,0.005406944674279117,0.0022846363578720484,0.0007030538265306115,0,0,0,0,0,0,0,0,92327936,52895744,9453568,97787904,43446272,19521536,50655232,27140096,9641984,42475520,5693440,9011200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600949,0.20006732558620408,0.122942504,1,0.002247535704628635,0.008609586069249093,0.0008023177519217208,0.009432483504228534,0.002003456143125003,0.20006732558620408,0.0035358336638149296,0.0005171193247566539,0.0068081878386512815,0.00528120579483915,0.0023446556139642125,0.0009960509700378923,0,0,0,0,0,0,0,0,92323840,52895744,9453568,98234368,43446272,19558400,50655232,27140096,9445376,42479616,5693440,8761344,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600964,0.20012160628042563,0.034178305,1,0.0020963400092965235,0.007597830018083232,0.0009272867303946066,0.006769035034144868,0.0019511005244954923,0.20012160628042563,0.0035340395109282313,0.0005215933398855342,0.006958504342845949,0.00539032110282786,0.002288467290518294,0.0010734668536871584,0,0,0,0,0,0,0,0,92323840,52785152,9453568,97890304,43446272,19423232,50659328,27512832,9605120,42479616,5955584,8761344,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600979,0.20008119195368826,0.029760427,1,0.0017927650690792393,0.008020988523038775,0.001026722347239064,0.00881139517594575,0.001971320137263357,0.20008119195368826,0.003723783648741628,0.0005185643564356436,0.00791945477075601,0.005884810510358752,0.001835352171441588,0.0006662333333333474,0,0,0,0,0,0,0,0,92205056,52809728,9719808,98488320,43446272,19566592,50659328,27701248,9617408,42479616,5955584,8761344,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600994,0.20004436654774704,0.036717812,1,0.002102087011634768,0.004564790422805857,0.0008623328719156367,0.008287530522874604,0.0019369926357253014,0.20004436654774704,0.0035892594409025146,0.0005056482294410338,0.007649108624430983,0.005632031320313179,0.0022125889735921797,0.0010694688170245815,0,0,0,0,0,0,0,0,92467200,52850688,9453568,98144256,43446272,19578880,50671616,27181056,9768960,42479616,5955584,8765440,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780601009,0.2000613603769715,0.033680833,1,0.002174656608595186,0.007081411091526699,0.0016321843995894464,0.009301841864251663,0.001658369369369417,0.2000613603769715,0.003681521093285773,0.0005914395163968914,0.007775630499768544,0.005537780484377495,0.0021884313683807597,0.0011605907150621494,0,0,0,0,0,0,0,0,92205056,52850688,9457664,98258944,43446272,19578880,50679808,27459584,9633792,42479616,5693440,8830976,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780601024,0.19995696953234635,0.128458938,1,0.002117987288601593,0.007171152310448331,0.0014440590827484792,0.008317499176121481,0.001939607870548354,0.19995696953234635,0.003546564463234355,0.0007093006795017028,0.00736990322432685,0.0051301806711970014,0.0016623113757902811,0.0012031944354994582,0,0,0,0,0,0,0,0,92205056,52883456,9461760,98193408,43446272,19431424,50679808,27676672,9687040,42479616,5693440,8896512,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780601039,0.19987711980306372,0.035091732,1,0.0021839634324829476,0.0060661259998720145,0.0016122189316660994,0.009148421936877474,0.0016324479469282532,0.19987711980306372,0.0036778631067729012,0.0007163878912262675,0.007783157946378172,0.005531495072821824,0.002182883649438719,0.0011285370395603528,0,0,0,0,0,0,0,0,92205056,52883456,9457664,98521088,43446272,19496960,50688000,28106752,9687040,42479616,5693440,8896512,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780601054,0.13832649665608962,0.122571873,1,0.0022211403869905376,0.007258907167066093,0.0007829234912365863,0.007721971994291923,0.0019027604252610719,0.13832649665608962,0.003461056338028183,0.0005940599747232928,0.006111917965539582,0.005309012379896306,0.0021831799463837035,0.0009108195327445899,0,0,0,0,0,0,0,0,92209152,52858880,9457664,98734080,43446272,19496960,50692096,28315648,9875456,42479616,5693440,8966144,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780601069,0.19999846967167462,0.03522684,1,0.0023693352633336845,0.008265303676717135,0.0006746467734006151,0.0082892483569381,0.001581072348142559,0.19999846967167462,0.0037482752656764306,0.0004744974365298888,0.007083541147132143,0.00552697873684612,0.0023184942205560204,0.0009213945998576966,0,0,0,0,0,0,0,0,92332032,52858880,9461760,99221504,43446272,19083264,50696192,28495872,9461760,42479616,5955584,8781824,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
